id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
7677423,Brookland-CUA: DC Within Your Reach,40315715,8/2/15,"Washington, District of Columbia, United States",within a day,67%,t,Brookland,1,1,t,t,Brookland,20018,38.92862,-76.98515,t,House,Entire home/apt,4,1,1,2,Real Bed,$68.00 ,$450.00 ,"$1,850.00 ",,$25.00 ,2,$20.00 ,3,40,3,3,1125,1125,3,1125,3 weeks ago,320,172,24,8/7/15,6/2/20,96,10,10,10,10,10,10,f,t,f,strict_14_with_grace_period,f,f,1,2.9
7693200,Cool Condo in NOMA,12004891,2/6/14,"Washington, District of Columbia, United States",N/A,N/A,f,Ivy City,1,1,t,t,Ivy City,20002,38.91292,-76.98868,t,Condominium,Entire home/apt,4,1,1,1,Real Bed,$99.00 ,$571.00 ,,,$45.00 ,4,$25.00 ,1,1125,1,1,1125,1125,1,1125,45 months ago,0,0,0,,,,,,,,,,f,f,f,flexible,f,f,1,
7698423,Beautiful 1BR in Lively Area,4196122,11/19/12,"Washington, District of Columbia, United States",N/A,N/A,f,Adams Morgan,1,1,t,t,Adams Morgan,20009,38.91621,-77.04358,t,Apartment,Entire home/apt,5,1,1,2,Real Bed,$110.00 ,,,,$50.00 ,1,$0.00 ,1,1125,1,1,1125,1125,1,1125,47 months ago,0,11,0,9/21/15,5/9/16,96,10,9,10,10,10,10,f,f,f,flexible,f,f,1,0.19
7706238,Cozy Apt in Columbia Heights DC,40433758,8/3/15,"Washington, District of Columbia, United States",N/A,N/A,f,Columbia Heights,1,1,t,t,Columbia Heights,20010,38.93126,-77.03056,t,Apartment,Private room,1,1,1,1,Real Bed,$45.00 ,,,,$15.00 ,1,$10.00 ,1,1125,1,1,1125,1125,1,1125,45 months ago,0,5,0,8/9/15,1/13/16,100,10,9,10,10,10,10,f,f,f,flexible,f,f,1,0.08
7708992,1 Bedroom Apt in Chinatown,19465978,8/4/14,"Washington, District of Columbia, United States",N/A,N/A,f,Mount Vernon Square,1,1,t,t,Mount Vernon Square,20001,38.90154,-77.01662,t,Apartment,Entire home/apt,4,1,1,1,Real Bed,$110.00 ,$550.00 ,,,$50.00 ,3,$25.00 ,1,1125,1,1,1125,1125,1,1125,49 months ago,0,5,0,2/7/16,7/4/16,100,10,9,10,10,10,10,f,f,f,flexible,f,f,1,0.09
7712730,Dupont Adams Morgan Royal Rose,39742620,7/27/15,US,within an hour,100%,f,Adams Morgan,5,5,t,f,Adams Morgan,20009,38.91713,-77.04186,t,Apartment,Entire home/apt,6,1,2,4,Real Bed,$149.00 ,"$1,195.00 ","$3,895.00 ",$250.00 ,$110.00 ,4,$35.00 ,2,1125,2,2,1125,1125,2,1125,5 months ago,109,61,10,12/29/15,3/9/20,96,10,10,10,10,10,10,f,f,f,strict_14_with_grace_period,f,f,5,1.12
7713639,Dupont Adams Morgan Chic Haven,39742620,7/27/15,US,within an hour,100%,f,Adams Morgan,5,5,t,f,Adams Morgan,20009,38.9175,-77.04254,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,$119.00 ,$995.00 ,"$2,895.00 ",$150.00 ,$90.00 ,2,$35.00 ,2,1125,2,2,1125,1125,2,1125,6 months ago,135,63,4,10/22/15,1/3/20,95,10,9,10,10,10,9,f,f,f,strict_14_with_grace_period,f,f,5,1.11
7714816,Dupont Adams Morgan Idyllic Glow,39742620,7/27/15,US,within an hour,100%,f,Adams Morgan,5,5,t,f,Adams Morgan,20009,38.91642,-77.04249,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,$119.00 ,$850.00 ,"$2,695.00 ",$150.00 ,$90.00 ,2,$35.00 ,2,1125,2,2,1125,1125,2,1125,6 months ago,154,56,4,11/23/15,11/17/19,94,10,10,10,10,10,9,f,f,f,strict_14_with_grace_period,f,f,5,1.01
7714870,01. A quiet room near Nats stadium,3672670,9/25/12,"Washington, District of Columbia, United States",within an hour,100%,f,Southwest Waterfront,16,16,t,t,Southwest Waterfront,20024,38.872,-77.01275,t,House,Private room,2,2,1,1,Real Bed,$67.00 ,$500.00 ,"$1,600.00 ",$200.00 ,$20.00 ,2,$25.00 ,1,1125,1,1,1125,1125,1,1125,4 weeks ago,168,310,37,10/3/15,6/2/20,89,9,9,9,10,8,9,f,t,f,strict_14_with_grace_period,f,f,16,5.4
7714880,04. Master bedroom near the stadium,3672670,9/25/12,"Washington, District of Columbia, United States",within an hour,100%,f,Southwest Waterfront,16,16,t,t,Southwest Waterfront,20024,38.87108,-77.01357,t,House,Private room,3,2,1,1,Real Bed,$88.00 ,$500.00 ,"$1,900.00 ",$200.00 ,$20.00 ,2,$50.00 ,1,1125,1,1,1125,1125,1,1125,4 weeks ago,173,334,49,9/9/15,6/14/20,87,9,8,10,10,9,9,f,t,f,strict_14_with_grace_period,f,f,16,5.74
7715486,Dupont Adams Morgan Wonderful Grace,39742620,7/27/15,US,within an hour,100%,f,Adams Morgan,5,5,t,f,Adams Morgan,20009,38.91784,-77.04394,t,Apartment,Entire home/apt,6,2,2,4,Real Bed,$159.00 ,"$1,250.00 ","$3,895.00 ",$250.00 ,$110.00 ,4,$35.00 ,2,1125,2,2,1125,1125,2,1125,5 months ago,135,95,12,9/21/15,1/26/20,91,10,10,10,10,10,9,f,f,f,strict_14_with_grace_period,f,f,5,1.64
7725273,Beautiful Apt in Historic Row House,7260828,7/3/13,"Washington, District of Columbia, United States",N/A,N/A,f,Capitol Hill,1,1,t,t,Capitol Hill,20002,38.89556,-76.9951,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,$120.00 ,$657.00 ,"$1,950.00 ",,$35.00 ,1,$0.00 ,30,365,30,30,365,365,30,365,27 months ago,0,137,0,8/11/15,3/27/18,96,10,10,10,10,10,10,f,f,f,moderate,f,f,1,2.32
7725828,Fully Furnished 1BR | Desk Space+Internet | by GLS,30283594,3/30/15,"Hawthorne, New Jersey, United States",within an hour,98%,f,Fenway/Kenmore,562,562,t,f,Downtown/Penn Quarter,20005,38.90076,-77.03295,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,$139.00 ,,,$0.00 ,$80.00 ,3,$0.00 ,3,1125,2,10,1125,1125,2.6,1125,2 weeks ago,364,1,1,4/26/20,4/26/20,100,10,10,10,10,10,10,f,t,f,strict_14_with_grace_period,f,f,28,0.55
7726082,DC 2BR Condo | Gym + Rooftop Terrace | by GLS,30283594,3/30/15,"Hawthorne, New Jersey, United States",within an hour,98%,f,Fenway/Kenmore,562,562,t,f,Downtown/Penn Quarter,20005,38.90095,-77.03426,t,Apartment,Entire home/apt,5,2,2,1,Real Bed,$199.00 ,,,$0.00 ,$80.00 ,5,$0.00 ,3,1125,2,10,1125,1125,9.7,1125,3 weeks ago,18,6,1,12/12/15,1/5/20,93,9,10,9,8,10,9,f,t,f,strict_14_with_grace_period,f,f,28,0.11
7728263,Best Location in the City,26083739,1/13/15,"Washington, District of Columbia, United States",N/A,N/A,f,U Street Corridor,1,1,t,t,U Street Corridor,20009,38.91893,-77.03285,t,Apartment,Private room,2,1,1,1,Real Bed,$60.00 ,$400.00 ,,,$10.00 ,1,$10.00 ,1,1125,1,1,1125,1125,1,1125,58 months ago,0,8,0,8/11/15,9/8/15,90,9,8,9,9,10,9,f,t,f,strict_14_with_grace_period,f,f,1,0.14
7729211,Beautiful 2 bed/1.5 ba U St/dupont,40614944,8/5/15,"Denver, Colorado, United States",N/A,N/A,f,,1,1,t,t,U Street Corridor,20009,38.91801,-77.03775,f,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,$150.00 ,$900.00 ,,,$30.00 ,1,$0.00 ,2,1125,2,2,1125,1125,2,1125,57 months ago,0,1,0,9/27/15,9/27/15,100,10,8,10,10,10,10,f,f,f,flexible,f,f,1,0.02
7730327,Chic Modern Row House Apt in Dupont,12581592,2/25/14,"Washington, District of Columbia, United States",N/A,N/A,f,,1,1,t,t,Dupont Circle,20009,38.91521,-77.04073,f,Apartment,Entire home/apt,3,1,1,1,Real Bed,$150.00 ,$800.00 ,,$200.00 ,$50.00 ,2,$50.00 ,2,21,2,2,21,21,2,21,37 months ago,0,15,0,10/18/15,5/8/17,95,9,9,10,10,10,9,f,f,f,strict_14_with_grace_period,f,f,1,0.26
7731695,Dupont Adams Morgan Comfy Gem,40629622,8/5/15,US,N/A,N/A,f,Adams Morgan,5,5,t,f,Adams Morgan,20009,38.91595,-77.04397,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,$119.00 ,$750.00 ,"$2,495.00 ",$150.00 ,$90.00 ,2,$35.00 ,2,1125,2,2,1125,1125,2,1125,5 months ago,135,50,6,10/12/15,1/26/20,93,10,10,9,9,10,9,f,f,f,strict_14_with_grace_period,f,f,5,0.88
