id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
3663,Classic Rowhouse: Porch+ART+Parking,4617,11/25/08,"Washington D.C., District of Columbia, United States",N/A,N/A,f,Manor Park,0,0,t,t,Manor Park,20011,38.95888,-77.02554,t,Townhouse,Entire home/apt,4,3.5,4,2,Real Bed,$154.00 ,,,$0.00 ,$50.00 ,4,$0.00 ,3,30,3,3,30,30,3,30,10 months ago,117,41,0,9/15/10,5/21/18,97,10,10,10,10,9,10,f,f,f,strict_14_with_grace_period,f,f,2,0.35
3670,Beautiful Sun-Lit U Street 1BR/1BA,4630,11/25/08,"Washington, District of Columbia, United States",N/A,N/A,f,,1,1,t,f,U Street Corridor,20009,38.91842,-77.0275,f,Townhouse,Private room,2,1,1,1,Real Bed,$75.00 ,$600.00 ,,$500.00 ,$25.00 ,1,$0.00 ,2,30,2,2,30,30,2,30,22 months ago,0,79,0,3/18/15,7/25/18,87,9,9,9,9,10,9,f,f,f,strict_14_with_grace_period,f,f,1,1.25
3686,Vita's Hideaway,4645,11/26/08,"Washington D.C., District of Columbia, United States",within a day,100%,f,Anacostia,2,2,t,t,Anacostia,20020,38.86314,-76.98836,f,House,Private room,1,1,1,1,Real Bed,$55.00 ,$430.00 ,$975.00 ,$0.00 ,$0.00 ,1,$0.00 ,2,365,2,2,365,365,2,365,12 months ago,365,72,2,11/1/10,4/1/20,92,9,9,10,10,8,9,f,f,f,moderate,f,f,2,0.62
3771,Mt. Pleasant,4795,12/3/08,"Washington, District of Columbia, United States",N/A,N/A,f,Mt. Pleasant,1,1,t,f,Mount Pleasant,20009,38.9276,-77.03926,t,Other,Private room,2,1,1,1,Real Bed,$88.00 ,,,,,1,$0.00 ,1,1125,1,1,1125,1125,1,1125,46 months ago,0,1,0,1/21/09,1/21/09,,,,,,,,f,f,f,moderate,f,f,1,0.01
4002,2 Bedroom Private Condo Suite (Basement Apt),5143,12/13/08,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Michigan Park,2,2,t,t,Michigan Park,20017,38.94008,-76.98936,t,House,Entire home/apt,9,1,2,2,Real Bed,$120.00 ,$950.00 ,"$3,500.00 ",$200.00 ,$85.00 ,3,$20.00 ,2,365,2,2,365,365,2,365,11 months ago,65,149,0,1/20/09,11/13/18,85,8,8,9,9,8,8,f,t,f,flexible,f,t,1,1.08
4197,Bedroom in DC 2 blocks to Metro,5061,12/12/08,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Capitol Hill,2,2,t,t,Capitol Hill,20003,38.88791,-76.99668,t,House,Private room,2,1.5,1,1,Real Bed,$83.00 ,,,,$35.00 ,1,$0.00 ,28,365,28,28,1125,1125,28,1125,2 weeks ago,356,45,6,5/14/09,3/14/20,97,10,10,10,10,10,10,f,f,f,moderate,f,f,2,0.34
4501,DC Rowhouse,1585,8/8/08,"Washington, District of Columbia, United States",N/A,N/A,f,Shaw,1,1,t,t,Shaw,20001,38.91331,-77.02436,t,House,Private room,2,1.5,2,2,Real Bed,$150.00 ,,,$500.00 ,$0.00 ,2,$50.00 ,30,90,30,30,90,90,30,90,37 months ago,94,120,0,1/21/09,7/16/15,98,10,10,10,10,9,10,f,f,f,strict_14_with_grace_period,f,f,1,0.87
4967,"DC, Near Metro",7086,1/26/09,"Washington D.C., District of Columbia, United States",within an hour,100%,t,Ivy City,5,5,t,t,Ivy City,20002,38.91263,-76.99221,t,House,Private room,1,3,1,1,Real Bed,$99.00 ,$600.00 ,"$1,500.00 ",,,1,$0.00 ,2,365,2,2,365,365,2,365,3 months ago,0,31,0,11/4/10,9/22/16,95,9,10,10,10,8,9,f,f,f,moderate,f,f,3,0.27
5589,Cozy apt in Adams Morgan,6527,1/13/09,"Washington D.C., District of Columbia, United States",N/A,N/A,t,Adams Morgan,4,4,t,t,Adams Morgan,20009,38.91933,-77.04124,t,Apartment,Entire home/apt,3,1,1,1,Real Bed,$118.00 ,$650.00 ,"$2,500.00 ",$100.00 ,$15.00 ,1,$10.00 ,3,13,3,6,1125,1125,3.3,1125,2 months ago,18,95,6,9/22/09,3/5/20,91,10,8,10,10,10,9,f,f,f,moderate,f,f,2,0.73
7103,"Best of Washington - Great neighborhood, parking",17633,5/18/09,"Washington, District of Columbia, United States",within an hour,96%,f,Berkley,57,57,t,t,Berkley,20007,38.91988,-77.09796,t,Guest suite,Entire home/apt,2,1,1,2,Real Bed,$99.00 ,$506.00 ,"$1,517.00 ",$0.00 ,$35.00 ,1,$15.00 ,3,365,3,4,365,365,3.1,365,2 months ago,233,201,85,3/21/10,3/10/20,97,10,10,10,10,10,10,f,t,f,moderate,f,t,53,1.62
7202,Classic Rowhouse: Porch+Art+Parking,4617,11/25/08,"Washington D.C., District of Columbia, United States",N/A,N/A,f,Manor Park,0,0,t,t,Manor Park,20011,38.96,-77.02425,t,Townhouse,Private room,3,1,1,1,Real Bed,$85.00 ,,,,$20.00 ,2,$20.00 ,2,30,2,2,30,30,2,30,10 months ago,28,63,0,6/30/15,6/20/18,99,10,10,10,10,9,10,f,f,f,strict_14_with_grace_period,f,f,2,1.06
