id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
1875762,Penthouse Victorian Suite Heart DC,9770738,11/2/13,"Washington, District of Columbia, United States",within an hour,100%,f,Brookland,1,1,t,t,20018,38.92318,-76.99356,t,Apartment,Entire home/apt,8,1,1,2,Real Bed,$100.00 ,$550.00 ,"$2,000.00 ",$0.00 ,$175.00 ,2,$60.00 ,3,28,3,3,1125,1125,3,1125,6 months ago,365,46,7,4/13/15,9/16/19,90,9,9,10,9,9,9,f,t,f,strict_14_with_grace_period,f,f,1,0.79
1876163,Superconvenient in Hip Neighborhood,9772504,11/2/13,"Washington, District of Columbia, United States",within a few hours,100%,f,Columbia Heights,1,1,t,t,20009,38.9298,-77.02745,t,Apartment,Private room,1,1,1,1,Futon,$60.00 ,$400.00 ,"$1,300.00 ",$200.00 ,$40.00 ,1,$0.00 ,4,32,4,4,32,32,4,32,2 weeks ago,35,18,2,6/1/14,5/31/19,99,10,9,10,10,10,10,f,f,f,strict_14_with_grace_period,f,f,1,0.26
1878529,Heart of Dupont Circle East,74778,1/28/10,"New York, New York, United States",within a few hours,100%,t,Dupont Circle,2,2,t,t,20009,38.91554,-77.04218,t,Apartment,Entire home/apt,4,1,0,3,Real Bed,$155.00 ,,,$300.00 ,$48.00 ,2,$15.00 ,1,30,1,1,30,30,1,30,3 weeks ago,166,227,50,4/19/15,1/1/20,99,10,10,10,10,10,10,f,f,f,moderate,f,f,2,3.92
1880860,Near the US Capitol,9792214,11/3/13,"Washington, District of Columbia, United States",within an hour,100%,t,Barney Circle,1,1,t,f,20003,38.88417,-76.98113,t,House,Private room,1,1,1,1,Real Bed,$60.00 ,,,$100.00 ,$100.00 ,1,$0.00 ,2,180,2,2,180,180,2,180,9 months ago,364,137,6,2/3/14,10/11/19,87,9,9,10,9,9,9,f,f,f,moderate,f,f,1,1.89
1883590,Cozy Downtown DC English Basement apt,9802940,11/4/13,"Washington, District of Columbia, United States",within an hour,100%,f,Shaw,6,6,t,t,20001,38.90643,-77.02501,t,Apartment,Entire home/apt,5,1,1,3,Real Bed,$117.00 ,,,$0.00 ,$20.00 ,1,$0.00 ,15,1125,4,15,1125,1125,14.5,1125,2 weeks ago,88,49,20,12/29/13,12/29/19,93,10,9,10,10,10,9,f,f,f,strict_14_with_grace_period,f,f,1,0.66
1896951,Mid-Century in Rock Creek Park,9789671,11/3/13,"Washington, District of Columbia, United States",within an hour,100%,t,Colonial Village,1,1,t,t,20012,38.98979,-77.04603,t,House,Private room,4,1,2,3,Real Bed,$90.00 ,$560.00 ,,,$10.00 ,3,$10.00 ,2,1125,2,2,1125,1125,2,1125,3 months ago,356,121,7,4/5/14,11/30/19,97,10,10,10,10,9,10,f,t,f,flexible,f,f,1,1.72
1901631,2BR/1BA Guest Suite - Union Station,9011212,9/23/13,"Washington, District of Columbia, United States",within an hour,100%,t,Near Northeast/H Street Corridor,4,4,t,f,20002,38.90159,-76.99919,t,Guest suite,Entire home/apt,4,1,2,2,Real Bed,$128.00 ,,,$500.00 ,$95.00 ,4,$20.00 ,1,1125,1,5,1125,1125,4.2,1125,today,210,172,9,3/21/14,10/18/19,98,10,10,10,10,10,10,f,f,f,moderate,f,f,4,2.42
1905924,Studio in Petworth,4185634,11/18/12,"Washington, District of Columbia, United States",N/A,N/A,f,Petworth,2,2,t,t,20011,38.947,-77.02415,t,Apartment,Entire home/apt,3,1,0,1,Real Bed,$100.00 ,,,,$30.00 ,1,$0.00 ,2,1125,2,2,1125,1125,2,1125,48 months ago,0,0,0,,,,,,,,,,f,f,f,flexible,f,f,2,
1917762,My Place,5652708,3/27/13,"Washington, District of Columbia, United States",N/A,N/A,f,Columbia Heights,1,1,t,t,20010,38.93442,-77.02683,t,House,Private room,2,1,1,1,Real Bed,$50.00 ,,,,,1,$0.00 ,1,1125,1,1,1125,1125,1,1125,47 months ago,0,0,0,,,,,,,,,,f,f,f,flexible,f,f,1,
1936134,Modern DC Northwest Apartment with Parking Spot,10017900,11/14/13,"Washington, District of Columbia, United States",within an hour,100%,t,North Cleveland Park,1,1,t,t,20016,38.95243,-77.07164,t,Apartment,Entire home/apt,3,1,1,2,Real Bed,$124.00 ,,,$0.00 ,$95.00 ,3,$45.00 ,3,30,3,3,30,30,3,30,today,323,179,36,8/9/14,1/1/20,98,10,10,10,10,10,10,f,t,f,moderate,f,f,1,2.7
1936620,Charming 1BR in DC Northwest,10019854,11/14/13,"Washington, District of Columbia, United States",N/A,N/A,f,Kalorama,1,1,t,t,20009,38.91974,-77.048,t,Apartment,Entire home/apt,2,1,1,1,Real Bed,$96.00 ,,,$95.00 ,,1,$25.00 ,1,1125,1,1,1125,1125,1,1125,13 months ago,0,11,0,12/1/13,12/23/18,98,10,9,10,10,10,10,f,f,f,flexible,t,t,1,0.15
1936730,"King bed, comfy apt. in Northwest",10020304,11/14/13,"Washington, District of Columbia, United States",N/A,N/A,f,Bloomingdale,1,1,t,t,20001,38.91863,-77.01352,t,Apartment,Entire home/apt,4,1,1,2,Real Bed,$99.00 ,,,,,2,$15.00 ,2,19,2,2,19,19,2,19,39 months ago,0,36,0,12/18/13,10/27/16,94,9,9,10,10,9,9,f,f,f,moderate,f,f,1,0.49
1939655,Newly Appointed & Profess. Cleaned : No Parties,1843195,3/2/12,"Washington, District of Columbia, United States",within an hour,100%,t,Trinidad,2,2,t,t,20002,38.90386,-76.98219,t,Apartment,Entire home/apt,6,1,1,1,Real Bed,$99.00 ,$762.00 ,"$3,000.00 ",$100.00 ,$35.00 ,2,$25.00 ,1,120,1,1,1125,1125,1,1125,a week ago,166,359,74,1/8/14,1/4/20,92,10,10,10,10,10,10,f,f,f,moderate,f,f,1,4.89
1944504,Charming two-bedroom Kalorama ,10057663,11/16/13,"Westport, Massachusetts, United States",within a few hours,100%,f,Kalorama,2,2,t,t,20009,38.91896,-77.04659,t,Apartment,Entire home/apt,3,1,2,2,Real Bed,$135.00 ,,"$3,500.00 ",,$200.00 ,1,$0.00 ,180,365,180,180,365,365,180,365,16 months ago,358,0,0,,,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,1,
