id,name,host_id,host_since,host_location,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
36019020,Cute studio in Dupont,5220889,2/25/13,"Washington, District of Columbia, United States",within a few hours,90%,f,Kalorama,1,1,t,t,,38.91406,-77.04745,Entire apartment,Entire home/apt,2,,1 bath,,1,$56.00 ,10,23,10,10,23,23,10,23,,49,1,0,0,6/26/19,6/26/19,,,,,,,,f,1,0.07
36024524,Cute DuPont One Bedroom - Perfect for DC Getaway!,200389115,7/6/18,"Washington, District of Columbia, United States",N/A,N/A,t,U Street Corridor,2,2,t,t,"Washington, District of Columbia, United States",38.91531,-77.04004,Entire apartment,Entire home/apt,3,,1 bath,1,1,$118.00 ,2,1125,2,2,1125,1125,2,1125,,0,12,6,0,7/7/19,2/23/20,95,10,9,10,9,10,10,f,2,0.81
36025499,"MI CASA, TU CASA Private Room/Bathroom w/ Parking",260135411,5/6/19,"Washington, District of Columbia, United States",within an hour,100%,t,Benning Ridge,4,4,t,t,"Washington, District of Columbia, United States",38.87666,-76.93916,Private room in house,Private room,2,,1 private bath,1,1,$59.00 ,2,40,2,2,40,40,2,40,,50,1,0,0,7/21/19,7/21/19,100,10,10,10,10,8,10,t,5,0.07
36027092,"Yours Truly DC, Standard Queen",268577141,6/14/19,"Washington, District of Columbia, United States",within an hour,79%,f,Downtown/Penn Quarter,3,3,t,t,"Washington, District of Columbia, United States",38.90441,-77.04672,Room in hotel,Private room,2,,1 private bath,1,1,$143.00 ,1,99,1,1,2147483647,2147483647,1,2147483647,,360,1,1,1,9/5/20,9/5/20,100,10,10,10,10,10,10,t,8,1
36027382,"Yours Truly DC, Cityview Double Queen",268577141,6/14/19,"Washington, District of Columbia, United States",within an hour,79%,f,Downtown/Penn Quarter,3,3,t,t,,38.90459,-77.0484,Room in hotel,Private room,4,,1 private bath,1,2,$163.29 ,1,99,1,1,2147483647,2147483647,1,2147483647,,357,1,1,1,8/29/20,8/29/20,100,10,10,10,10,10,10,t,8,1
36027557,"Yours Truly DC, Standard King",268577141,6/14/19,"Washington, District of Columbia, United States",within an hour,79%,f,Downtown/Penn Quarter,3,3,t,t,,38.90368,-77.0479,Room in hotel,Private room,2,,1 private bath,1,1,$143.00 ,1,99,1,1,2147483647,2147483647,1,2147483647,,355,1,1,1,9/6/20,9/6/20,100,10,10,10,8,10,10,t,8,1
36027693,"Yours Truly DC, Courtyard King",268577141,6/14/19,"Washington, District of Columbia, United States",within an hour,79%,f,Downtown/Penn Quarter,3,3,t,t,,38.90513,-77.04687,Room in hotel,Private room,2,,1 private bath,1,1,$153.00 ,1,99,1,1,2147483647,2147483647,1,2147483647,,360,0,0,0,,,,,,,,,,t,8,
36028001,"Yours Truly DC, Premium King",268577141,6/14/19,"Washington, District of Columbia, United States",within an hour,79%,f,Downtown/Penn Quarter,3,3,t,t,"Washington, District of Columbia, United States",38.9043,-77.04855,Room in hotel,Private room,2,,1 private bath,1,1,$183.00 ,1,99,1,1,2147483647,2147483647,1,2147483647,,360,0,0,0,,,,,,,,,,t,8,
36028494,"Yours Truly DC, Cityview King",268577141,6/14/19,"Washington, District of Columbia, United States",within an hour,79%,f,Downtown/Penn Quarter,3,3,t,t,,38.90394,-77.04694,Room in hotel,Private room,2,,1 private bath,1,1,$163.00 ,1,99,1,1,2147483647,2147483647,1,2147483647,,360,0,0,0,,,,,,,,,,t,8,
36028730,"Yours Truly DC, King Suite",268577141,6/14/19,"Washington, District of Columbia, United States",within an hour,79%,f,Downtown/Penn Quarter,3,3,t,t,,38.90505,-77.0481,Room in hotel,Private room,3,,1.5 baths,1,2,$443.00 ,1,99,1,1,2147483647,2147483647,1,2147483647,,360,0,0,0,,,,,,,,,,t,8,
